month,income_usd,rent_usd,food_usd,research_usd,music_usd,fermentation_usd,travel_usd,other_usd,savings_usd
Jan,5267,2200,453,123,209,59,0,270,1953
Feb,5071,2200,536,369,203,40,0,368,1355
Mar,5346,2200,547,212,320,144,2800,373,-1250
Apr,5354,2200,459,366,35,80,2800,311,-897
May,5094,2200,508,96,222,45,0,263,1760
Jun,4970,2200,627,203,14,31,0,353,1542
Jul,4857,2200,525,233,191,130,0,212,1366
Aug,5343,2200,555,339,349,66,0,194,1640
Sep,4880,2200,606,245,317,81,120,383,928
Oct,5397,2200,486,168,236,85,120,215,1887
Nov,4809,2200,680,288,147,159,0,168,1167
Dec,5252,2200,691,226,300,96,120,326,1293
